area_type,availability,location,size,total_sqft,bath,balcony,price(in Lakhs),price
Super built-up  Area,Ready To Move,Whitefield,4 BHK,5924,4,3,625,62500000
Super built-up  Area,18-Feb,Whitefield,3 BHK,1740,4,3,130,13000000
Super built-up  Area,20-Dec,Whitefield,2 BHK,1173,2,1,78.2,7820000
Super built-up  Area,18-Aug,Whitefield,2 BHK,1185,2,2,41,4100000
Super built-up  Area,Ready To Move,Whitefield,1 BHK,605,1,1,40,4000000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1250,2,2,82,8200000
Super built-up  Area,Ready To Move,Whitefield,3 BHK,2225,3,1,149,14900000
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1458,2,2,62,6200000
Super built-up  Area,18-Jul,Whitefield,1 BHK,905,1,1,60,6000000
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1537,2,3,70,7000000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1186,2,3,55,5500000
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1870,3,2,90,9000000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1115,2,1,55,5500000
Super built-up  Area,20-Dec,Whitefield,2 BHK,1338,2,1,103,10300000
Super built-up  Area,21-Dec,Whitefield,2 BHK,1356,2,1,94.84,9484000
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1755,3,3,101,10100000
Super built-up  Area,18-Apr,Whitefield,2 BHK,1216,2,1,75,7500000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1140,2,2,40,4000000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1216,2,1,83,8300000
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1850,3,2,150,15000000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1190,2,2,41,4100000
Super built-up  Area,20-Dec,Whitefield,1 BHK,840,1,1,57.6,5760000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1295,2,3,78.5,7850000
Super built-up  Area,18-Dec,Whitefield,4 BHK,2830,5,3,190,19000000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1150,2,2,55,5500000
Super built-up  Area,18-Oct,Whitefield,2 BHK,1216,2,1,67,6700000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1109,2,1,35.22,3522000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1109,2,1,35.47,3547000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1187,2,1,37.85,3785000
Super built-up  Area,Ready To Move,Whitefield,4 BHK,2155,3,3,125,12500000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1255,2,2,40,4000000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1140,2,2,39,3900000
Super built-up  Area,18-Oct,Whitefield,4 BHK,2830,5,2,160,16000000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1230,2,2,59,5900000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1205,2,1,40,4000000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1195,2,1,70,7000000
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1738,2,3,79,7900000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1250,2,2,72,7200000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1340,2,1,77,7700000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1320,2,3,79.5,7950000
Super built-up  Area,20-Dec,Whitefield,2 BHK,750,2,1,52.7,5270000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1180,2,2,41,4100000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1095,2,1,35,3500000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1415,2,3,67,6700000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1105,2,1,41.36,4136000
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1700,3,1,140,14000000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1405,2,2,84.5,8450000
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1345,2,2,57,5700000
Super built-up  Area,Ready To Move,Whitefield,4 BHK,3252,4,3,280,28000000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1150,2,2,90,9000000
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1440,2,2,64,6400000
Super built-up  Area,18-May,Whitefield,2 BHK,1109,2,1,41.49,4149000
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1700,3,2,95,9500000
Super built-up  Area,18-Dec,Whitefield,2 BHK,1215,2,1,62,6200000
Super built-up  Area,20-Sep,Whitefield,3 BHK,2700,5,2,175,17500000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1216,2,1,84,8400000
Super built-up  Area,19-Sep,Whitefield,4 BHK,2882,5,1,204,20400000
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1840,3,2,140,14000000
Super built-up  Area,20-Nov,Whitefield,3 BHK,1778,3,2,122,12200000
Super built-up  Area,Ready To Move,Whitefield,1 BHK,650,1,1,25,2500000
Super built-up  Area,18-Nov,Whitefield,2 BHK,1200,2,1,45.84,4584000
Super built-up  Area,18-May,Whitefield,3 BHK,1451,2,2,52.43,5243000
Super built-up  Area,21-Dec,Whitefield,2 BHK,1132,2,1,79.28,7928000
Super built-up  Area,Ready To Move,Whitefield,4 BHK,3262,4,2,260,26000000
Super built-up  Area,18-Dec,Whitefield,3 BHK,1600,3,2,82,8200000
Super built-up  Area,18-Apr,Whitefield,1 BHK,905,1,1,50,5000000
Super built-up  Area,18-Dec,Whitefield,2 BHK,1085,2,1,57,5700000
Super built-up  Area,Ready To Move,Whitefield,1 BHK,530,1,1,29.44,2944000
Super built-up  Area,18-Dec,Whitefield,3 BHK,1655,3,1,113,11300000
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1862,3,2,125,12500000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1180,2,2,41,4100000
Super built-up  Area,18-Aug,Whitefield,2 BHK,1175,2,1,39,3900000
Super built-up  Area,19-Jun,Whitefield,3 BHK,1870,3,2,138,13800000
Super built-up  Area,18-Jun,Whitefield,2 BHK,1235,2,2,47,4700000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1227,2,2,53.49,5349000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1116,2,1,51.91,5191000
Super built-up  Area,Ready To Move,Whitefield,1 BHK,825,1,1,44.9,4490000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1096,2,1,39,3900000
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1745,3,3,100,10000000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1312,2,2,55,5500000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1190,2,2,60,6000000
Super built-up  Area,18-Oct,Whitefield,2 BHK,1140,2,2,45,4500000
Super built-up  Area,18-May,Whitefield,2 BHK,1216,2,1,73,7300000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1255,2,3,77,7700000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1355,2,3,78,7800000
Super built-up  Area,18-Dec,Whitefield,2 BHK,1216,2,1,75,7500000
Super built-up  Area,18-Dec,Whitefield,2 BHK,1216,2,1,69.06,6906000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1125,2,2,40,4000000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1205,2,1,40,4000000
Super built-up  Area,18-Sep,Whitefield,2 BHK,1074,2,1,42.79,4279000
Super built-up  Area,20-Dec,Whitefield,2 BHK,1269,2,1,75,7500000
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1545,3,2,79,7900000
Super built-up  Area,20-Jun,Whitefield,3 BHK,1306,3,2,54.65,5465000
Super built-up  Area,20-Jun,Whitefield,3 BHK,1386,3,1,57.46,5746000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1100,2,2,52,5200000
Plot  Area,Ready To Move,Whitefield,4 BHK,2785,5,3,295,29500000
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1836,3,2,125,12500000
Super built-up  Area,20-Jan,Whitefield,2 BHK,1276,2,1,69.5,6950000
Super built-up  Area,18-Dec,Whitefield,2 BHK,1346,2,1,76.01,7601000
Super built-up  Area,19-Apr,Whitefield,2 BHK,1063,2,1,42.52,4252000
Super built-up  Area,19-Mar,Whitefield,2 BHK,1216,2,1,66.48,6648000
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1451,2,2,46.4,4640000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1315,2,3,55,5500000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1175,2,1,41,4100000
Super built-up  Area,18-Apr,Whitefield,3 BHK,1396,3,1,74,7400000
Super built-up  Area,17-Dec,Whitefield,2 BHK,1158,2,1,55,5500000
Super built-up  Area,18-Apr,Whitefield,3 BHK,1496,2,1,71.81,7181000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1050,2,3,43,4300000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1370,2,2,56,5600000
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1452,2,2,46.29,4629000
Super built-up  Area,19-Jan,Whitefield,3 BHK,3758,3,1,300,30000000
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1436,2,3,62.15,6215000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1116,2,3,51.91,5191000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1220,2,1,89,8900000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1270,2,1,94,9400000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1105,2,1,35.4,3540000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1190,2,1,70,7000000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1390,2,1,72,7200000
Super built-up  Area,18-Jan,Whitefield,2 BHK,1170,2,1,56,5600000
Super built-up  Area,18-Dec,Whitefield,4 BHK,2882,5,1,200,20000000
Super built-up  Area,18-Oct,Whitefield,3 BHK,2280,4,2,125,12500000
Super built-up  Area,18-Jun,Whitefield,2 BHK,1074,2,1,42.8,4280000
Super built-up  Area,18-Mar,Whitefield,2 BHK,1245,2,1,59.76,5976000
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1820,3,2,140,14000000
Super built-up  Area,18-Jun,Whitefield,2 BHK,1277,2,1,77,7700000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1115,2,1,51.91,5191000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1317,2,2,52,5200000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1250,2,2,85,8500000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1220,2,1,55,5500000
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1400,2,3,56,5600000
Super built-up  Area,19-Dec,Whitefield,1 BHK,877,1,1,59,5900000
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1453,2,2,58,5800000
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1730,3,2,125,12500000
Super built-up  Area,18-Dec,Whitefield,1 BHK,613,1,1,48,4800000
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1760,3,2,139,13900000
Super built-up  Area,18-Dec,Whitefield,3 BHK,1639,3,2,107,10700000
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1404,2,2,59,5900000
Super built-up  Area,18-Aug,Whitefield,2 BHK,1240,2,2,41,4100000
Super built-up  Area,19-Dec,Whitefield,3 BHK,1564,3,1,103,10300000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1270,2,2,52,5200000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1495,2,1,78,7800000
Super built-up  Area,18-Feb,Whitefield,3 BHK,1720,3,2,128,12800000
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1457,2,2,105,10500000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1362,2,3,85,8500000
Super built-up  Area,20-Dec,Whitefield,2 BHK,1173,2,1,78.2,7820000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1315,2,2,69.5,6950000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1270,2,1,105,10500000
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1660,3,1,110,11000000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1175,2,2,50,5000000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,925,2,1,35,3500000
Super built-up  Area,19-Mar,Whitefield,3 BHK,1655,3,2,113,11300000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1224,2,2,75,7500000
Super built-up  Area,18-Dec,Whitefield,3 BHK,2321,4,1,157,15700000
Super built-up  Area,18-Dec,Whitefield,2 BHK,1216,2,1,75,7500000
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1430,3,2,52,5200000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1015,2,3,56,5600000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1200,2,3,70,7000000
Super built-up  Area,19-Sep,Whitefield,2 BHK,1295,2,1,64.5,6450000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1140,2,3,55,5500000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1116,2,3,48.76,4876000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1205,2,1,41,4100000
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1345,3,1,58,5800000
Super built-up  Area,18-Feb,Whitefield,4 BHK,3410,5,3,253,25300000
Super built-up  Area,18-Feb,Whitefield,2 BHK,1340,2,1,101,10100000
Super built-up  Area,19-Mar,Whitefield,2 BHK,1216,2,1,80,8000000
Super built-up  Area,19-Dec,Whitefield,2 BHK,1350,2,1,88,8800000
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1740,3,2,95,9500000
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1655,3,1,108,10800000
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1600,3,2,95,9500000
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1720,3,3,98.97,9897000
Super built-up  Area,18-Mar,Whitefield,3 BHK,1496,2,1,718,71800000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1205,2,2,58,5800000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1024,2,1,32,3200000
Super built-up  Area,20-Dec,Whitefield,2 BHK,935,2,1,32.72,3272000
Super built-up  Area,18-Dec,Whitefield,3 BHK,1346,2,1,100,10000000
Super built-up  Area,Ready To Move,Whitefield,3 BHK,2025,4,2,115,11500000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1215,2,2,40,4000000
Super built-up  Area,18-Mar,Whitefield,2 BHK,1216,2,1,72.5,7250000
Super built-up  Area,18-Dec,Whitefield,2 BHK,1216,2,1,84.03,8403000
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1570,3,3,88,8800000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1300,2,2,78,7800000
Super built-up  Area,18-Jul,Whitefield,2 BHK,1195,2,1,62.38,6238000
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1704,3,1,120,12000000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1227,2,2,70,7000000
Super built-up  Area,18-Dec,Whitefield,2 BHK,1216,2,1,75,7500000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1140,2,2,50,5000000
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1585,3,1,84,8400000
Super built-up  Area,20-Dec,Whitefield,3 BHK,1564,3,1,103,10300000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1495,3,3,88,8800000
Super built-up  Area,19-Mar,Whitefield,2 BHK,1216,2,1,82,8200000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1155,2,1,39,3900000
Super built-up  Area,19-Dec,Whitefield,3 BHK,3596,3,1,200,20000000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1190,2,1,64,6400000
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1626,3,3,85,8500000
Super built-up  Area,19-Jun,Whitefield,2 BHK,1195,2,1,61.36,6136000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1100,2,2,65,6500000
Super built-up  Area,18-Dec,Whitefield,3 BHK,1639,3,2,107,10700000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1116,2,3,51.91,5191000
Super built-up  Area,Ready To Move,Whitefield,1 BHK,516,1,1,39,3900000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1130,2,1,36,3600000
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1725,3,2,106,10600000
Super built-up  Area,19-Dec,Whitefield,1 BHK,840,1,1,57,5700000
Super built-up  Area,18-Jul,Whitefield,3 BHK,1655,3,2,110,11000000
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1760,3,2,160,16000000
Super built-up  Area,Ready To Move,Whitefield,4 BHK,3075,2,3,188,18800000
Super built-up  Area,Ready To Move,Whitefield,4 BHK,2135,3,2,149,14900000
Super built-up  Area,19-Dec,Whitefield,1 BHK,524,1,1,29,2900000
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1431,3,2,85,8500000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1340,2,2,41,4100000
Super built-up  Area,18-May,Whitefield,2 BHK,1150,2,2,40.21,4021000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1267,2,1,90.33,9033000
Super built-up  Area,18-Feb,Whitefield,2 BHK,1012,2,1,58,5800000
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1530,3,3,73,7300000
Super built-up  Area,18-Aug,Whitefield,2 BHK,1314,2,1,84,8400000
Super built-up  Area,20-Sep,Whitefield,3 BHK,2140,3,2,139,13900000
Super built-up  Area,19-Dec,Whitefield,2 BHK,1180,2,1,77,7700000
Super built-up  Area,18-Apr,Whitefield,2 BHK,1216,2,1,66.88,6688000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1160,2,1,67,6700000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1190,2,3,59,5900000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1187,2,1,38,3800000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1015,2,1,45,4500000
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1530,3,3,75,7500000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1185,2,2,56,5600000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1135,2,2,58,5800000
Super built-up  Area,18-May,Whitefield,2 BHK,1216,2,1,73,7300000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1100,2,1,46.5,4650000
Super built-up  Area,18-Aug,Whitefield,2 BHK,1160,2,2,39,3900000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1495,2,2,79.5,7950000
Built-up  Area,Ready To Move,Whitefield,3 BHK,1600,3,0,69.1,6910000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1215,2,2,39,3900000
Plot  Area,Ready To Move,Whitefield,4 BHK,4800,4,3,525,52500000
Plot  Area,Ready To Move,Whitefield,4 BHK,5000,4,3,400,40000000
Plot  Area,Ready To Move,Whitefield,4 BHK,2400,4,3,200,20000000
Plot  Area,18-Sep,Whitefield,2 BHK,1200,2,1,45.84,4584000
Plot  Area,18-Mar,Whitefield,3 BHK,1500,3,1,61.95,6195000
Plot  Area,Ready To Move,Whitefield,4 BHK,11890,4,3,700,70000000
Plot  Area,Ready To Move,Whitefield,4 BHK,5700,5,3,650,65000000
Built-up  Area,Ready To Move,Whitefield,2 BHK,1270,2,1,110,11000000
Built-up  Area,18-Mar,Whitefield,3 BHK,1650,3,2,48,4800000
Built-up  Area,Ready To Move,Whitefield,3 BHK,1740,3,3,85,8500000
Built-up  Area,Ready To Move,Whitefield,3 BHK,1010,2,1,45,4500000
Plot  Area,Ready To Move,Whitefield,4 BHK,3000,5,3,250,25000000
Built-up  Area,Ready To Move,Whitefield,3 BHK,1615,3,0,96.9,9690000
Built-up  Area,Ready To Move,Whitefield,3 BHK,1634,3,2,68,6800000
Built-up  Area,Ready To Move,Whitefield,4 BHK,3453,4,2,247,24700000
Built-up  Area,19-Oct,Whitefield,4 BHK,3565,4,0,218,21800000
Built-up  Area,Ready To Move,Whitefield,3 BHK,1990,3,3,98,9800000
Built-up  Area,20-Dec,Whitefield,3 BHK,1820,3,2,113,11300000
Built-up  Area,18-Dec,Whitefield,2 BHK,1059,2,1,57,5700000
Built-up  Area,18-Aug,Whitefield,4 BHK,2500,4,0,100,10000000
Built-up  Area,18-Jun,Whitefield,4 BHK,2830,4,3,161,16100000
Built-up  Area,18-Apr,Whitefield,3 BHK,3150,3,1,290,29000000
Built-up  Area,18-Jun,Whitefield,3 BHK,3117,3,2,261,26100000
Built-up  Area,Ready To Move,Whitefield,3 BHK,1270,2,2,65,6500000
Built-up  Area,18-Jun,Whitefield,2 BHK,1216,2,1,72,7200000
Built-up  Area,Ready To Move,Whitefield,2 BHK,1030,2,2,44,4400000
Plot  Area,Ready To Move,Whitefield,4 BHK,3100,4,2,465,46500000
Plot  Area,18-Dec,Whitefield,3 BHK,1200,3,2,68.5,6850000
Plot  Area,18-Dec,Whitefield,3 BHK,1200,3,1,68.4,6840000
Plot  Area,18-Aug,Whitefield,2 BHK,1200,2,1,46.13,4613000
Plot  Area,18-Dec,Whitefield,2 BHK,1200,2,2,46.13,4613000
Plot  Area,18-Oct,Whitefield,3 BHK,1200,3,2,57.15,5715000
Plot  Area,18-Aug,Whitefield,4 BHK,1230,4,2,80,8000000
Plot  Area,Ready To Move,Whitefield,4 BHK,4400,5,3,525,52500000
Plot  Area,Ready To Move,Whitefield,4 BHK,3100,4,2,350,35000000
Plot  Area,Ready To Move,Whitefield,4 BHK,4960,4,3,400,40000000
Plot  Area,Ready To Move,Whitefield,4 BHK,4356,5,1,850,85000000
Plot  Area,18-Aug,Whitefield,2 BHK,1200,2,1,45,4500000
Plot  Area,17-Dec,Whitefield,2 BHK,1200,2,1,45,4500000
Plot  Area,18-May,Whitefield,3 BHK,1500,3,1,130,13000000
Plot  Area,Ready To Move,Whitefield,4 BHK,3445,5,3,270,27000000
Plot  Area,Ready To Move,Whitefield,4 BHK,3000,4,3,306,30600000
Plot  Area,18-Jul,Whitefield,3 BHK,1200,3,1,61.96,6196000
Plot  Area,Ready To Move,Whitefield,4 BHK,3004,4,2,285,28500000
Plot  Area,Ready To Move,Whitefield,4 BHK,1500,4,3,200,20000000
Plot  Area,Ready To Move,Whitefield,4 BHK,3000,4,0,330,33000000
Plot  Area,18-Dec,Whitefield,3 BHK,1500,3,1,71.8,7180000
Plot  Area,18-Sep,Whitefield,2 BHK,1200,2,1,46.13,4613000
Plot  Area,Ready To Move,Whitefield,3 BHK,3010,3,2,200,20000000
Plot  Area,18-Aug,Whitefield,3 BHK,1200,3,2,56.2,5620000
Plot  Area,Ready To Move,Whitefield,4 BHK,1204,4,1,125,12500000
Plot  Area,Ready To Move,Whitefield,4 BHK,4000,4,2,330,33000000
Plot  Area,18-Aug,Whitefield,2 BHK,1200,2,1,45,4500000
Built-up  Area,Ready To Move,Whitefield,4 BHK,2500,4,1,420,42000000
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1520,2,2,150,15000000
Built-up  Area,Ready To Move,Whitefield,2 BHK,1020,2,2,45,4500000
Built-up  Area,Ready To Move,Whitefield,2 BHK,1000,2,1,35,3500000
Built-up  Area,20-Dec,Whitefield,2 BHK,1173,2,1,60,6000000
Built-up  Area,Ready To Move,Whitefield,3 BHK,1350,3,2,54,5400000
Built-up  Area,Ready To Move,Whitefield,2 BHK,1150,2,0,55,5500000
Built-up  Area,18-Jun,Whitefield,1 BHK,905,1,1,55,5500000
Built-up  Area,Ready To Move,Whitefield,3 BHK,1150,2,3,44,4400000
Built-up  Area,14-Nov,Whitefield,3 BHK,1410,3,2,43.71,4371000
Built-up  Area,Ready To Move,Whitefield,3 BHK,1896,3,1,75,7500000
Built-up  Area,Ready To Move,Whitefield,2 BHK,735,2,1,35,3500000
Built-up  Area,Ready To Move,Whitefield,2 BHK,1205,2,2,58,5800000
Built-up  Area,Ready To Move,Whitefield,2 BHK,1280,2,0,85,8500000
Built-up  Area,18-Jun,Whitefield,4 BHK,4827,4,3,400,40000000
Built-up  Area,18-Dec,Whitefield,2 BHK,1192,2,1,71,7100000
Built-up  Area,18-Jan,Whitefield,3 BHK,2842,3,2,162,16200000
Built-up  Area,Ready To Move,Whitefield,3 BHK,1700,3,2,115,11500000
Built-up  Area,Ready To Move,Whitefield,2 BHK,1113,2,1,62,6200000
Built-up  Area,18-Feb,Whitefield,3 BHK,1897,3,2,130,13000000
Built-up  Area,20-Dec,Whitefield,2 BHK,1447,2,1,83,8300000
Built-up  Area,Ready To Move,Whitefield,4 BHK,4144,4,3,315,31500000
Built-up  Area,20-Dec,Whitefield,3 BHK,1768,3,2,101,10100000
Built-up  Area,Ready To Move,Whitefield,2 BHK,1225,2,2,47.6,4760000
Built-up  Area,Ready To Move,Whitefield,4 BHK,4200,4,2,420,42000000
Built-up  Area,Ready To Move,Whitefield,3 BHK,2010,3,2,91,9100000
Built-up  Area,20-Dec,Whitefield,3 BHK,1610,3,2,81,8100000
Built-up  Area,Ready To Move,Whitefield,3 BHK,1541,3,1,72,7200000
Built-up  Area,20-Dec,Whitefield,4 BHK,2400,4,3,147,14700000
Built-up  Area,18-Dec,Whitefield,1 BHK,624,1,1,35,3500000
Built-up  Area,18-Feb,Whitefield,4 BHK,2928,4,3,198,19800000
Built-up  Area,Ready To Move,Whitefield,2 BHK,1240,2,2,70,7000000
Built-up  Area,Ready To Move,Whitefield,3 BHK,1770,4,1,68,6800000
Built-up  Area,18-Dec,Whitefield,3 BHK,1558,3,2,90,9000000
Built-up  Area,Ready To Move,Whitefield,2 BHK,1141,2,1,62,6200000
Built-up  Area,Ready To Move,Whitefield,3 BHK,1275,2,3,65,6500000
Built-up  Area,Ready To Move,Whitefield,2 BHK,1197,2,1,50,5000000
Built-up  Area,Ready To Move,Whitefield,4 BHK,5000,5,2,550,55000000
Built-up  Area,Ready To Move,Whitefield,2 BHK,1290,2,0,90,9000000
Built-up  Area,18-Jun,Whitefield,3 BHK,1655,3,2,97,9700000
Built-up  Area,18-Dec,Whitefield,3 BHK,1991,3,2,104,10400000
Built-up  Area,18-Dec,Whitefield,3 BHK,1600,3,2,69,6900000
Built-up  Area,Ready To Move,Whitefield,4 BHK,2850,5,0,240,24000000
Built-up  Area,Ready To Move,Whitefield,3 BHK,1806,3,3,85,8500000
Built-up  Area,Ready To Move,Whitefield,4 BHK,3589,5,0,400,40000000
Built-up  Area,Ready To Move,Whitefield,2 BHK,1125,2,2,45,4500000
Built-up  Area,18-Apr,Whitefield,3 BHK,2210,3,2,156,15600000
Built-up  Area,Ready To Move,Whitefield,3 BHK,1435,3,2,45,4500000
Built-up  Area,Ready To Move,Whitefield,3 BHK,1550,2,2,49.6,4960000
Built-up  Area,Ready To Move,Whitefield,3 BHK,3000,3,2,400,40000000
Built-up  Area,Ready To Move,Whitefield,4 BHK,3425,5,2,250,25000000
Built-up  Area,Ready To Move,Whitefield,4 BHK,4000,4,3,380,38000000
Built-up  Area,18-Mar,Whitefield,1 BHK,905,1,1,52,5200000
Built-up  Area,18-Apr,Whitefield,4 BHK,3200,4,3,224,22400000
Built-up  Area,Ready To Move,Whitefield,1 BHK,810,1,0,21,2100000
Built-up  Area,Ready To Move,Whitefield,2 BHK,1400,2,1,80,8000000
Plot  Area,18-Jul,Whitefield,3 BHK,1200,3,1,56,5600000
Plot  Area,Ready To Move,Whitefield,4 BHK,2403,4,2,270,27000000
Plot  Area,Ready To Move,Whitefield,4 BHK,4003,6,1,525,52500000
Plot  Area,Ready To Move,Whitefield,4 BHK,1800,4,3,178,17800000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1420,2,2,136,13600000
Super built-up  Area,18-Nov,Whitefield,2 BHK,1125,2,2,62,6200000
